exchange,executed_quantity,executed_quantity_minmax,execution_price,execution_price_minmax,execution_time,order_id,order_price,order_price_minmax,order_status,order_time,order_type,quantity,quantity_minmax,row_id,side,symbol,timestamp,trader_id,volume,volume_minmax,_rescued_data
NSE,124,0.493,1410.3,0.4819,2026-02-20 09:15:15,ORD000*******,1410.0,0.4818,FILLED,2026-02-20 09:15:00,LIMIT,124,0.1231,1,B**,RELIANCE.NS,2026-02-20 09:15:00,TRD****,0.0,0.0,
NSE,313,0.5651,1411.39,0.4823,2026-02-20 09:16:31,ORD000*******,1411.7,0.4825,FILLED,2026-02-20 09:16:00,STOP,313,0.3123,2,SE**,RELIANCE.NS,2026-02-20 09:16:00,TRD****,38756.0,0.1247,
NSE,470,0.7034,1408.79,0.4813,2026-02-20 09:17:39,ORD000*******,1408.5,0.4812,FILLED,2026-02-20 09:17:00,LIMIT,470,0.4695,3,B**,RELIANCE.NS,2026-02-20 09:17:00,TRD****,30935.0,0.0995,
NSE,538,0.5371,1409.77,0.4817,2026-02-20 09:18:56,ORD000*******,1410.0,0.4818,PARTIAL,2026-02-20 09:18:00,STOP,653,0.6527,4,SE**,RELIANCE.NS,2026-02-20 09:18:00,TRD****,30540.0,0.0983,
NSE,13,0.2725,1409.92,0.4817,2026-02-20 09:19:34,ORD000*******,1410.4,0.482,FILLED,2026-02-20 09:19:00,MARKET,13,0.012,5,B**,RELIANCE.NS,2026-02-20 09:19:00,TRD****,24419.0,0.0786,
NSE,25,0.023,1411.65,0.4824,2026-02-20 09:20:38,ORD000*******,1412.0,0.4826,FILLED,2026-02-20 09:20:00,MARKET,890,0.8899,6,B**,RELIANCE.NS,2026-02-20 09:20:00,TRD****,26079.0,0.0839,
NSE,101,0.0992,1412.61,0.4828,2026-02-20 09:21:58,ORD000*******,1412.2,0.4827,PARTIAL,2026-02-20 09:21:00,MARKET,661,0.6607,7,B**,RELIANCE.NS,2026-02-20 09:21:00,TRD****,30993.0,0.0997,
NSE,687,0.8647,1413.07,0.483,2026-02-20 09:22:27,ORD000*******,1413.1,0.4831,FILLED,2026-02-20 09:22:00,LIMIT,687,0.6867,8,B**,RELIANCE.NS,2026-02-20 09:22:00,TRD****,12574.0,0.0405,
NSE,60,0.8076,1412.37,0.4827,2026-02-20 09:23:48,ORD000*******,1412.6,0.4829,CANCELLED,2026-02-20 09:23:00,LIMIT,60,0.0591,9,B**,RELIANCE.NS,2026-02-20 09:23:00,TRD****,14754.0,0.0475,
NSE,79,0.0772,1411.11,0.4822,2026-02-20 09:24:49,ORD000*******,1411.4,0.4824,PARTIAL,2026-02-20 09:24:00,MARKET,621,0.6206,10,B**,RELIANCE.NS,2026-02-20 09:24:00,TRD****,9801.0,0.0315,
NSE,411,0.4098,1409.46,0.4815,2026-02-20 09:25:44,ORD000*******,1409.4,0.4816,CANCELLED,2026-02-20 09:25:00,STOP,917,0.9169,11,SE**,RELIANCE.NS,2026-02-20 09:25:00,TRD****,18795.0,0.0605,
NSE,360,0.8878,1409.86,0.4817,2026-02-20 09:26:03,ORD000*******,1410.3,0.4819,FILLED,2026-02-20 09:26:00,LIMIT,360,0.3594,12,B**,RELIANCE.NS,2026-02-20 09:26:00,TRD****,17604.0,0.0566,
NSE,576,0.5752,1410.66,0.482,2026-02-20 09:27:40,ORD000*******,1411.0,0.4822,CANCELLED,2026-02-20 09:27:00,STOP,643,0.6426,13,SE**,RELIANCE.NS,2026-02-20 09:27:00,TRD****,14769.0,0.0475,
NSE,91,0.3818,1410.46,0.4819,2026-02-20 09:28:28,ORD000*******,1410.4,0.482,FILLED,2026-02-20 09:28:00,MARKET,91,0.0901,14,SE**,RELIANCE.NS,2026-02-20 09:28:00,TRD****,4801.0,0.0154,
NSE,191,0.1894,1408.11,0.481,2026-02-20 09:29:12,ORD000*******,1408.6,0.4813,CANCELLED,2026-02-20 09:29:00,MARKET,212,0.2112,15,B**,RELIANCE.NS,2026-02-20 09:29:00,TRD****,13363.0,0.043,
NSE,222,0.2455,1410.69,0.482,2026-02-20 09:30:05,ORD000*******,1410.9,0.4822,FILLED,2026-02-20 09:30:00,MARKET,222,0.2212,16,SE**,RELIANCE.NS,2026-02-20 09:30:00,TRD****,14556.0,0.0468,
NSE,37,0.0351,1409.57,0.4816,2026-02-20 09:31:44,ORD000*******,1409.6,0.4817,FILLED,2026-02-20 09:31:00,STOP,378,0.3774,17,SE**,RELIANCE.NS,2026-02-20 09:31:00,TRD****,6847.0,0.022,
NSE,354,0.3948,1411.43,0.4823,2026-02-20 09:32:51,ORD000*******,1411.7,0.4825,CANCELLED,2026-02-20 09:32:00,LIMIT,354,0.3534,18,B**,RELIANCE.NS,2026-02-20 09:32:00,TRD****,11217.0,0.0361,
NSE,207,0.3627,1412.89,0.4829,2026-02-20 09:33:53,ORD000*******,1413.1,0.4831,PARTIAL,2026-02-20 09:33:00,LIMIT,207,0.2062,19,SE**,RELIANCE.NS,2026-02-20 09:33:00,TRD****,17234.0,0.0554,
NSE,1,0.1884,1414.21,0.4834,2026-02-20 09:34:52,ORD000*******,1414.5,0.4836,CANCELLED,2026-02-20 09:34:00,LIMIT,1,0.0,20,B**,RELIANCE.NS,2026-02-20 09:34:00,TRD****,40615.0,0.1307,
NSE,341,0.984,1415.24,0.4839,2026-02-20 09:35:47,ORD000*******,1415.0,0.4838,FILLED,2026-02-20 09:35:00,STOP,341,0.3403,21,B**,RELIANCE.NS,2026-02-20 09:35:00,TRD****,23868.0,0.0768,
NSE,148,0.6914,1416.3,0.4843,2026-02-20 09:36:40,ORD000*******,1416.1,0.4843,CANCELLED,2026-02-20 09:36:00,STOP,148,0.1471,22,B**,RELIANCE.NS,2026-02-20 09:36:00,TRD****,75707.0,0.2436,
NSE,484,0.989,1416.26,0.4843,2026-02-20 09:37:35,ORD000*******,1416.2,0.4843,FILLED,2026-02-20 09:37:00,LIMIT,484,0.4835,23,B**,RELIANCE.NS,2026-02-20 09:37:00,TRD****,61874.0,0.1991,
NSE,253,0.2515,1414.13,0.4834,2026-02-20 09:38:12,ORD000*******,1414.4,0.4836,FILLED,2026-02-20 09:38:00,LIMIT,308,0.3073,24,SE**,RELIANCE.NS,2026-02-20 09:38:00,TRD****,9983.0,0.0321,
NSE,59,0.0571,1414.82,0.4837,2026-02-20 09:39:39,ORD000*******,1414.6,0.4837,FILLED,2026-02-20 09:39:00,STOP,997,0.997,25,B**,RELIANCE.NS,2026-02-20 09:39:00,TRD****,127211.7927270113,0.7774,
