exchange,executed_quantity,executed_quantity_minmax,execution_price,execution_price_minmax,execution_time,order_id,order_price,order_price_minmax,order_status,order_time,order_type,quantity,quantity_minmax,side,symbol,timestamp,trader_id,volume,volume_minmax,execution_time_hour,execution_time_day,execution_time_month,order_time_hour,order_time_day,order_time_month,timestamp_hour,timestamp_day,timestamp_month,exchange_encoded,order_status_encoded,order_type_encoded,side_encoded,symbol_encoded
NSE,124,0.493,1410.3,0.4819,2026-02-20 09:15:15,ORD000*******,1410.0,0.4818,FILLED,2026-02-20 09:15:00,LIMIT,124,0.1231,B**,RELIANCE.NS,2026-02-20 09:15:00,TRD****,0.0,0.0,9,4,2,9,4,2,9,4,2,0,1,0,0,2
NSE,313,0.5651,1411.39,0.4823,2026-02-20 09:16:31,ORD000*******,1411.7,0.4825,FILLED,2026-02-20 09:16:00,STOP,313,0.3123,SE**,RELIANCE.NS,2026-02-20 09:16:00,TRD****,38756.0,0.1247,9,4,2,9,4,2,9,4,2,0,1,2,1,2
NSE,470,0.7034,1408.79,0.4813,2026-02-20 09:17:39,ORD000*******,1408.5,0.4812,FILLED,2026-02-20 09:17:00,LIMIT,470,0.4695,B**,RELIANCE.NS,2026-02-20 09:17:00,TRD****,30935.0,0.0995,9,4,2,9,4,2,9,4,2,0,1,0,0,2
NSE,538,0.5371,1409.77,0.4817,2026-02-20 09:18:56,ORD000*******,1410.0,0.4818,PARTIAL,2026-02-20 09:18:00,STOP,653,0.6527,SE**,RELIANCE.NS,2026-02-20 09:18:00,TRD****,30540.0,0.0983,9,4,2,9,4,2,9,4,2,0,2,2,1,2
NSE,13,0.2725,1409.92,0.4817,2026-02-20 09:19:34,ORD000*******,1410.4,0.482,FILLED,2026-02-20 09:19:00,MARKET,13,0.012,B**,RELIANCE.NS,2026-02-20 09:19:00,TRD****,24419.0,0.0786,9,4,2,9,4,2,9,4,2,0,1,1,0,2
NSE,25,0.023,1411.65,0.4824,2026-02-20 09:20:38,ORD000*******,1412.0,0.4826,FILLED,2026-02-20 09:20:00,MARKET,890,0.8899,B**,RELIANCE.NS,2026-02-20 09:20:00,TRD****,26079.0,0.0839,9,4,2,9,4,2,9,4,2,0,1,1,0,2
NSE,101,0.0992,1412.61,0.4828,2026-02-20 09:21:58,ORD000*******,1412.2,0.4827,PARTIAL,2026-02-20 09:21:00,MARKET,661,0.6607,B**,RELIANCE.NS,2026-02-20 09:21:00,TRD****,30993.0,0.0997,9,4,2,9,4,2,9,4,2,0,2,1,0,2
NSE,687,0.8647,1413.07,0.483,2026-02-20 09:22:27,ORD000*******,1413.1,0.4831,FILLED,2026-02-20 09:22:00,LIMIT,687,0.6867,B**,RELIANCE.NS,2026-02-20 09:22:00,TRD****,12574.0,0.0405,9,4,2,9,4,2,9,4,2,0,1,0,0,2
NSE,60,0.8076,1412.37,0.4827,2026-02-20 09:23:48,ORD000*******,1412.6,0.4829,CANCELLED,2026-02-20 09:23:00,LIMIT,60,0.0591,B**,RELIANCE.NS,2026-02-20 09:23:00,TRD****,14754.0,0.0475,9,4,2,9,4,2,9,4,2,0,0,0,0,2
NSE,79,0.0772,1411.11,0.4822,2026-02-20 09:24:49,ORD000*******,1411.4,0.4824,PARTIAL,2026-02-20 09:24:00,MARKET,621,0.6206,B**,RELIANCE.NS,2026-02-20 09:24:00,TRD****,9801.0,0.0315,9,4,2,9,4,2,9,4,2,0,2,1,0,2
