symbol,date,open,high,low,close,volume
RELIANCE.NS,2006-02-27,80.34698486328125,80.67271423339844,79.66123962402344,80.01554107666016,47238261
RELIANCE.NS,2006-02-28,80.43270874023438,81.7070541381836,79.4669418334961,81.01559448242188,67553448
RELIANCE.NS,2006-03-01,80.91844177246094,81.59276580810547,80.24412536621094,80.947021484375,39579019
RELIANCE.NS,2006-03-02,81.14702606201172,82.17565155029297,80.80415344238281,81.50704956054688,33440448
RELIANCE.NS,2006-03-03,81.7184829711914,82.06136322021484,80.947021484375,81.80420684814453,36620586
RELIANCE.NS,2006-03-06,81.94706726074219,83.87859344482422,81.94706726074219,83.6843032836914,53639371
RELIANCE.NS,2006-03-07,83.81002044677734,84.57577514648438,83.31856536865234,83.71858978271484,47205302
RELIANCE.NS,2006-03-08,83.7757339477539,83.7757339477539,81.33560943603516,82.27851867675781,61494358
RELIANCE.NS,2006-03-09,82.74710845947266,83.2842788696289,81.31846618652344,83.06140899658203,40411075
RELIANCE.NS,2006-03-10,83.54714965820312,84.33576202392578,83.10713195800781,83.59857940673828,30233677
RELIANCE.NS,2006-03-13,83.60429382324219,84.71864318847656,83.54714965820312,84.04431915283203,34700724
RELIANCE.NS,2006-03-14,83.89002227783203,85.31867218017578,83.33570861816406,84.86150360107422,32703088
RELIANCE.NS,2006-03-16,85.14723205566406,88.00452423095703,84.86150360107422,87.83308410644531,77186860
RELIANCE.NS,2006-03-17,88.00452423095703,89.37030792236328,87.21591186523438,88.58169555664062,55913414
RELIANCE.NS,2006-03-20,88.77027893066406,89.1474380493164,88.0616683959961,88.92456817626953,21719690
RELIANCE.NS,2006-03-21,89.1474380493164,90.86181640625,88.51883697509766,89.19886779785156,38242210
RELIANCE.NS,2006-03-22,89.4845962524414,89.89033508300781,86.70159912109375,88.29025268554688,44707366
RELIANCE.NS,2006-03-23,89.31887817382812,89.65603637695312,87.85022735595703,88.84456634521484,33847162
RELIANCE.NS,2006-03-24,88.69026947021484,89.7188949584961,88.69026947021484,89.39888000488281,24725660
RELIANCE.NS,2006-03-27,89.83319091796875,91.17040252685547,89.83319091796875,90.78752136230469,26706864
RELIANCE.NS,2006-03-28,90.86181640625,91.09039306640625,90.01605224609375,90.38750457763672,16031818
RELIANCE.NS,2006-03-29,90.97610473632812,91.18183135986328,89.9760513305664,90.71894836425781,16167392
RELIANCE.NS,2006-03-30,90.97610473632812,92.22188568115234,90.06177520751953,90.94181823730469,28515650
RELIANCE.NS,2006-03-31,91.42755889892578,92.34760284423828,90.06177520751953,90.90181732177734,73076882
RELIANCE.NS,2006-04-03,91.54756164550781,95.20489501953125,91.54756164550781,94.72486877441406,44027176
RELIANCE.NS,2006-04-04,94.97631072998047,96.34780883789062,94.86772918701172,95.63348388671875,34384454
RELIANCE.NS,2006-04-05,96.34780883789062,96.5763931274414,95.43347930908203,96.06208038330078,39932982
RELIANCE.NS,2006-04-07,96.51924896240234,96.7249755859375,94.82201385498047,95.2563247680664,37107883
RELIANCE.NS,2006-04-10,95.20489501953125,96.19922637939453,94.19341278076172,95.57633972167969,40280750
RELIANCE.NS,2006-04-12,95.44490814208984,98.1421890258789,93.8448257446289,94.71915435791016,82064393
